Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase Steps,Expected Results
File Service Docker Container,File Service Up - [Valid Scenerio],TC-MuliCloud-FS-1,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend,Backend Registration - [Valid Scenerio],TC-MuliCloud-FS-2,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for non-existing Backend Type,Backend Registration - [InValid Scenerio],TC-MuliCloud-FS-3,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid Region,Backend Registration - [InValid Scenerio],TC-MuliCloud-FS-4,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid AK,Backend Registration - [InValid Scenerio],TC-MuliCloud-FS-5,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid SK,Backend Registration - [InValid Scenerio],TC-MuliCloud-FS-6,"SODA Multi-Cloud Docker Containers Up & Running
",,
List Backends,Backend Listing - [Valid Scenerio],TC-MuliCloud-FS-7,"SODA Multi-Cloud Docker Containers Up & Running
",,
Get AWS Backend,Backend GET - [Valid Scenerio],TC-MuliCloud-FS-8,"SODA Multi-Cloud Docker Containers Up & Running
",,
Delete AWS Backend,Backend Deletion - [Valid Scenerio],TC-MuliCloud-FS-9,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose FileShare 
with following conditions:

With Name having length <= 16 characters, contain only lowercase letters & numbers
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
With Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-10,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with following conditions:

With Name having length <= 16 characters, contain only lowercase letters & numbers
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-11,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with following conditions:

With Name having length > 16 characters
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-12,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with following conditions:

With Name contains content other than letters, numbers, and these characters: + - = . _ : /
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-13,"SODA Multi-Cloud Docker Containers Up & Running
",,
