Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase Steps,Expected Results
Block Service Docker Container,Block Service Up - [Valid Scenerio],TC-MuliCloud-Block-1,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend,Backend Registration - [Valid Scenerio],TC-MuliCloud-Block-2,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for non-existing Backend Type,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-3,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid Region,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-4,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid AK,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-5,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid SK,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-6,"SODA Multi-Cloud Docker Containers Up & Running
",,
List Backends,Backend Listing - [Valid Scenerio],TC-MuliCloud-Block-7,"SODA Multi-Cloud Docker Containers Up & Running
",,
Get AWS Backend,Backend GET - [Valid Scenerio],TC-MuliCloud-Block-8,"SODA Multi-Cloud Docker Containers Up & Running
",,
Delete AWS Backend,Backend Deletion - [Valid Scenerio],TC-MuliCloud-Block-9,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with following conditions:

1 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
With Desccription",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-10,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with following conditions:

1 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
Without Desccription",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-11,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with InValid/ Non-Existence Backend Id",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-12,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Non Block Type Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-13,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid Region in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-14,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid AK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-15,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid SK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-16,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid AvailabilityZone",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-17,"SODA Multi-Cloud Docker Containers Up & Running
",,
