Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
API server UT - list volumes,[Invalid Case] Should return 200 if everything works well,API_BLOCK_01,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - list volumes,[Invalid Case] Should return 500 if list volume with bad request,API_BLOCK_02,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Get volume,[Valid Case] Should return 200 if everything works well,API_BLOCK_03,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Get volume,[Invaid Case] Should return 404 if get volume replication with bad request,API_BLOCK_04,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume,[Valid Case] Should return 200 if everything works well,API_BLOCK_05,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume,[Invalid Case] Should return 400 empty volume name is not allowed,API_BLOCK_06,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume,[Invaid Case] Should return 400 volume name length should not be more than 255 characters,API_BLOCK_07,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume,[Invalid Case] Should return 400 invalid volume name because it has some special characters,API_BLOCK_08,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume,[Invalid Case] Should return 400 invalid volume description and it has some special characters,API_BLOCK_09,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume,[Invalid Case] Should return 500 if update volume with bad request,API_BLOCK_10,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - list volume snapshot,[Valid Case] Should return 200 if everything works well,API_BLOCK_11,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - list volume snapshot,[Invalid Case] Should return 500 if list volume snapshots with bad request,API_BLOCK_12,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Get volume snapshot,[Valid Case] Should return 200 if everything works well,API_BLOCK_13,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Get volume snapshot,[Invalid Case] Should return 404 if get volume group with bad request,API_BLOCK_14,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume snapshot,[Valid Case] Should return 200 if everything works well,API_BLOCK_15,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
API server UT - Update volume snapshot,[Invalid Case] Should return 500 if update volume snapshot with bad request,API_BLOCK_16,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/controllers/volume_test.go,
DB UT - Create volume DB entry,[Valid Case] Everything should work well,API_BLOCK_17,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/util/db_test.go,
DB UT - Create volume DB entry,[Valid Case] Delete volume snapshot by specifying by snapshotId,API_BLOCK_18,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/util/db_test.go,
DB UT - Create volume DB entry,[Valid Case] The size of volume created should be greater than zero,API_BLOCK_19,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/util/db_test.go,
DB UT - Create volume DB entry,[Valid Case] The profile id should not be empty,API_BLOCK_20,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/util/db_test.go,
DB UT - Create volume DB entry,[Invalid Case] Empty volume name is allowed,API_BLOCK_21,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/util/db_test.go,
DB UT - Create volume DB entry,[Invalid Case] volume name length equal to 0 character are not allowed,API_BLOCK_22,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",pkg/api/util/db_test.go,
